"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,5.97
"EUR/USD","on_hour",10,15,7
"EUR/USD","on_hour",10,16,7.27
"EUR/USD","on_hour",10,17,6.33
"EUR/USD","on_hour",10,18,6.09
"EUR/USD","on_hour",10,19,6.73
"EUR/USD","on_hour",10,20,6.38
"EUR/USD","on_hour",11,14,5.65
"EUR/USD","on_hour",11,15,6.77
"EUR/USD","on_hour",11,16,7.04
"EUR/USD","on_hour",11,17,5.89
"EUR/USD","on_hour",11,18,5.57
"EUR/USD","on_hour",11,19,6.29
"EUR/USD","on_hour",11,20,5.87
"EUR/USD","on_hour",12,14,6.42
"EUR/USD","on_hour",12,15,7.54
"EUR/USD","on_hour",12,16,7.74
"EUR/USD","on_hour",12,17,6.39
"EUR/USD","on_hour",12,18,6.03
"EUR/USD","on_hour",12,19,6.79
"EUR/USD","on_hour",12,20,6.25
"EUR/USD","on_hour",6,14,2.48
"EUR/USD","on_hour",6,15,3.36
"EUR/USD","on_hour",6,16,3.71
"EUR/USD","on_hour",6,17,3.08
"EUR/USD","on_hour",6,18,2.89
"EUR/USD","on_hour",6,19,3.35
"EUR/USD","on_hour",6,20,3.27
"EUR/USD","on_hour",7,14,3.5
"EUR/USD","on_hour",7,15,4.4
"EUR/USD","on_hour",7,16,4.74
"EUR/USD","on_hour",7,17,4.09
"EUR/USD","on_hour",7,18,3.9
"EUR/USD","on_hour",7,19,4.36
"EUR/USD","on_hour",7,20,4.25
"EUR/USD","on_hour",8,14,5.23
"EUR/USD","on_hour",8,15,6.16
"EUR/USD","on_hour",8,16,6.44
"EUR/USD","on_hour",8,17,5.76
"EUR/USD","on_hour",8,18,5.58
"EUR/USD","on_hour",8,19,6.04
"EUR/USD","on_hour",8,20,5.88
"EUR/USD","on_hour",9,14,8.58
"EUR/USD","on_hour",9,15,9.39
"EUR/USD","on_hour",9,16,9.54
"EUR/USD","on_hour",9,17,8.78
"EUR/USD","on_hour",9,18,8.61
"EUR/USD","on_hour",9,19,9.11
"EUR/USD","on_hour",9,20,8.7
"GBP/USD","on_hour",10,14,6.94
"GBP/USD","on_hour",10,15,7.75
"GBP/USD","on_hour",10,16,9.07
"GBP/USD","on_hour",10,17,7.53
