"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,3.95
"EUR/USD","on_hour",10,15,3.29
"EUR/USD","on_hour",10,16,3.44
"EUR/USD","on_hour",10,17,1.39
"EUR/USD","on_hour",10,18,2.43
"EUR/USD","on_hour",10,19,2.2
"EUR/USD","on_hour",10,20,1.39
"EUR/USD","on_hour",11,14,3.72
"EUR/USD","on_hour",11,15,2.96
"EUR/USD","on_hour",11,16,3.11
"EUR/USD","on_hour",11,17,0.71
"EUR/USD","on_hour",11,18,1.91
"EUR/USD","on_hour",11,19,1.66
"EUR/USD","on_hour",11,20,0.75
"EUR/USD","on_hour",12,14,4.03
"EUR/USD","on_hour",12,15,2.91
"EUR/USD","on_hour",12,16,3.04
"EUR/USD","on_hour",12,17,0.26
"EUR/USD","on_hour",12,18,1.64
"EUR/USD","on_hour",12,19,1.36
"EUR/USD","on_hour",12,20,0.33
"EUR/USD","on_hour",6,14,-1.23
"EUR/USD","on_hour",6,15,-1.44
"EUR/USD","on_hour",6,16,-1.27
"EUR/USD","on_hour",6,17,-2.55
"EUR/USD","on_hour",6,18,-1.89
"EUR/USD","on_hour",6,19,-1.95
"EUR/USD","on_hour",6,20,-2.46
"EUR/USD","on_hour",7,14,0.7
"EUR/USD","on_hour",7,15,0.44
"EUR/USD","on_hour",7,16,0.59
"EUR/USD","on_hour",7,17,-0.77
"EUR/USD","on_hour",7,18,-0.07
"EUR/USD","on_hour",7,19,-0.17
"EUR/USD","on_hour",7,20,-0.7
"EUR/USD","on_hour",8,14,2.05
"EUR/USD","on_hour",8,15,1.72
"EUR/USD","on_hour",8,16,1.86
"EUR/USD","on_hour",8,17,0.38
"EUR/USD","on_hour",8,18,1.13
"EUR/USD","on_hour",8,19,1
"EUR/USD","on_hour",8,20,0.42
"EUR/USD","on_hour",9,14,3.42
"EUR/USD","on_hour",9,15,2.94
"EUR/USD","on_hour",9,16,3.08
"EUR/USD","on_hour",9,17,1.33
"EUR/USD","on_hour",9,18,2.22
"EUR/USD","on_hour",9,19,2.03
"EUR/USD","on_hour",9,20,1.34
"GBP/USD","on_hour",10,14,5.13
"GBP/USD","on_hour",10,15,5.41
"GBP/USD","on_hour",10,16,5.52
"GBP/USD","on_hour",10,17,2.96
"GBP/USD","on_hour",10,18,4.41
"GBP/USD","on_hour",10,19,4.03
"GBP/USD","on_hour",10,20,3.16
"GBP/USD","on_hour",11,14,4.32
"GBP/USD","on_hour",11,15,4.58
"GBP/USD","on_hour",11,16,4.64
"GBP/USD","on_hour",11,17,1.52
"GBP/USD","on_hour",11,18,3.24
"GBP/USD","on_hour",11,19,2.78
"GBP/USD","on_hour",11,20,1.77
"GBP/USD","on_hour",12,14,5.3
"GBP/USD","on_hour",12,15,5.23
"GBP/USD","on_hour",12,16,5.19
"GBP/USD","on_hour",12,17,1.45
"GBP/USD","on_hour",12,18,3.47
"GBP/USD","on_hour",12,19,2.9
"GBP/USD","on_hour",12,20,1.72
"GBP/USD","on_hour",6,14,1.15
"GBP/USD","on_hour",6,15,1.5
"GBP/USD","on_hour",6,16,1.61
"GBP/USD","on_hour",6,17,-0.02
"GBP/USD","on_hour",6,18,0.92
"GBP/USD","on_hour",6,19,0.74
"GBP/USD","on_hour",6,20,0.18
"GBP/USD","on_hour",7,14,1.57
"GBP/USD","on_hour",7,15,1.91
"GBP/USD","on_hour",7,16,2.04
