"Asset","Algo","StartHour","EndHour","IR"
"EUR/JPY","on_hour",10,14,-2.78
"EUR/JPY","on_hour",10,15,0.34
"EUR/JPY","on_hour",10,16,0.25
"EUR/JPY","on_hour",10,17,2.18
"EUR/JPY","on_hour",10,18,2.38
"EUR/JPY","on_hour",10,19,2.87
"EUR/JPY","on_hour",10,20,-0.4
"EUR/JPY","on_hour",11,14,-5.57
"EUR/JPY","on_hour",11,15,-1.21
"EUR/JPY","on_hour",11,16,-1.11
"EUR/JPY","on_hour",11,17,1.27
"EUR/JPY","on_hour",11,18,1.56
"EUR/JPY","on_hour",11,19,2.14
"EUR/JPY","on_hour",11,20,-1.13
"EUR/JPY","on_hour",12,14,-4.01
"EUR/JPY","on_hour",12,15,0.94
"EUR/JPY","on_hour",12,16,0.61
"EUR/JPY","on_hour",12,17,2.82
"EUR/JPY","on_hour",12,18,2.94
"EUR/JPY","on_hour",12,19,3.4
"EUR/JPY","on_hour",12,20,-0.28
"EUR/JPY","on_hour",6,14,-6.16
"EUR/JPY","on_hour",6,15,-3.72
"EUR/JPY","on_hour",6,16,-3.52
"EUR/JPY","on_hour",6,17,-1.66
"EUR/JPY","on_hour",6,18,-1.27
"EUR/JPY","on_hour",6,19,-0.59
"EUR/JPY","on_hour",6,20,-3.15
"EUR/JPY","on_hour",7,14,-6.21
"EUR/JPY","on_hour",7,15,-3.75
"EUR/JPY","on_hour",7,16,-3.58
"EUR/JPY","on_hour",7,17,-1.74
"EUR/JPY","on_hour",7,18,-1.35
"EUR/JPY","on_hour",7,19,-0.7
"EUR/JPY","on_hour",7,20,-3.01
"EUR/JPY","on_hour",8,14,-7.54
"EUR/JPY","on_hour",8,15,-4.88
"EUR/JPY","on_hour",8,16,-4.6
"EUR/JPY","on_hour",8,17,-2.6
"EUR/JPY","on_hour",8,18,-2.16
"EUR/JPY","on_hour",8,19,-1.43
"EUR/JPY","on_hour",8,20,-3.58
"EUR/JPY","on_hour",9,14,-8.05
"EUR/JPY","on_hour",9,15,-4.99
"EUR/JPY","on_hour",9,16,-4.64
"EUR/JPY","on_hour",9,17,-2.4
"EUR/JPY","on_hour",9,18,-1.91
"EUR/JPY","on_hour",9,19,-1.16
"EUR/JPY","on_hour",9,20,-3.45
"GBP/JPY","on_hour",10,14,-4.87
"GBP/JPY","on_hour",10,15,-1.89
"GBP/JPY","on_hour",10,16,-3.44
"GBP/JPY","on_hour",10,17,-1.74
"GBP/JPY","on_hour",10,18,-3.19
"GBP/JPY","on_hour",10,19,-1.56
"GBP/JPY","on_hour",10,20,-2.68
"GBP/JPY","on_hour",11,14,-6.44
"GBP/JPY","on_hour",11,15,-2.59
"GBP/JPY","on_hour",11,16,-4.17
"GBP/JPY","on_hour",11,17,-2.12
"GBP/JPY","on_hour",11,18,-3.56
"GBP/JPY","on_hour",11,19,-1.82
"GBP/JPY","on_hour",11,20,-2.89
"GBP/JPY","on_hour",12,14,-3.97
"GBP/JPY","on_hour",12,15,0.03
"GBP/JPY","on_hour",12,16,-2.21
"GBP/JPY","on_hour",12,17,-0.43
"GBP/JPY","on_hour",12,18,-2.21
"GBP/JPY","on_hour",12,19,-0.53
"GBP/JPY","on_hour",12,20,-1.82
"GBP/JPY","on_hour",6,14,-7.38
"GBP/JPY","on_hour",6,15,-5.14
"GBP/JPY","on_hour",6,16,-6.12
"GBP/JPY","on_hour",6,17,-4.55
"GBP/JPY","on_hour",6,18,-5.57
"GBP/JPY","on_hour",6,19,-4.01
"GBP/JPY","on_hour",6,20,-5.18
"GBP/JPY","on_hour",7,14,-7.63
"GBP/JPY","on_hour",7,15,-5.27
"GBP/JPY","on_hour",7,16,-6.26
"GBP/JPY","on_hour",7,17,-4.67
"GBP/JPY","on_hour",7,18,-5.64
"GBP/JPY","on_hour",7,19,-4.08
"GBP/JPY","on_hour",7,20,-5
"GBP/JPY","on_hour",8,14,-9.17
"GBP/JPY","on_hour",8,15,-6.55
"GBP/JPY","on_hour",8,16,-7.45
"GBP/JPY","on_hour",8,17,-5.67
"GBP/JPY","on_hour",8,18,-6.57
"GBP/JPY","on_hour",8,19,-4.9
"GBP/JPY","on_hour",8,20,-5.57
"GBP/JPY","on_hour",9,14,-10.37
"GBP/JPY","on_hour",9,15,-7.32
"GBP/JPY","on_hour",9,16,-8.18
"GBP/JPY","on_hour",9,17,-6.1
"GBP/JPY","on_hour",9,18,-6.88
"GBP/JPY","on_hour",9,19,-5.09
"GBP/JPY","on_hour",9,20,-5.81
"AUD/JPY","on_hour",10,14,-4.08
"AUD/JPY","on_hour",10,15,-1.51
"AUD/JPY","on_hour",10,16,0.78
"AUD/JPY","on_hour",10,17,2.62
"AUD/JPY","on_hour",10,18,2.91
"AUD/JPY","on_hour",10,19,2.79
"AUD/JPY","on_hour",10,20,3.23
"AUD/JPY","on_hour",11,14,-6.28
"AUD/JPY","on_hour",11,15,-2.79
"AUD/JPY","on_hour",11,16,0
"AUD/JPY","on_hour",11,17,2.12
"AUD/JPY","on_hour",11,18,2.47
"AUD/JPY","on_hour",11,19,2.36
"AUD/JPY","on_hour",11,20,2.87
"AUD/JPY","on_hour",12,14,-2.22
"AUD/JPY","on_hour",12,15,1.02
"AUD/JPY","on_hour",12,16,3.39
"AUD/JPY","on_hour",12,17,5.19
"AUD/JPY","on_hour",12,18,5.31
"AUD/JPY","on_hour",12,19,4.97
"AUD/JPY","on_hour",12,20,4.89
"AUD/JPY","on_hour",6,14,-6.88
"AUD/JPY","on_hour",6,15,-4.86
"AUD/JPY","on_hour",6,16,-2.96
"AUD/JPY","on_hour",6,17,-1.17
"AUD/JPY","on_hour",6,18,-0.74
"AUD/JPY","on_hour",6,19,-0.66
"AUD/JPY","on_hour",6,20,0.33
"AUD/JPY","on_hour",7,14,-5.95
"AUD/JPY","on_hour",7,15,-3.92
"AUD/JPY","on_hour",7,16,-2.07
"AUD/JPY","on_hour",7,17,-0.37
"AUD/JPY","on_hour",7,18,0.02
"AUD/JPY","on_hour",7,19,0.07
