"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,8.95
"EUR/USD","on_hour",10,15,9.6
"EUR/USD","on_hour",10,16,8.29
"EUR/USD","on_hour",10,17,6.36
"EUR/USD","on_hour",10,18,6.93
"EUR/USD","on_hour",10,19,3.39
"EUR/USD","on_hour",10,20,2.04
"EUR/USD","on_hour",11,14,6.89
"EUR/USD","on_hour",11,15,7.25
"EUR/USD","on_hour",11,16,5.76
"EUR/USD","on_hour",11,17,3.78
"EUR/USD","on_hour",11,18,4.19
"EUR/USD","on_hour",11,19,0.56
"EUR/USD","on_hour",11,20,-0.97
"EUR/USD","on_hour",12,14,6.61
"EUR/USD","on_hour",12,15,6.94
"EUR/USD","on_hour",12,16,5.44
"EUR/USD","on_hour",12,17,3.48
"EUR/USD","on_hour",12,18,3.84
"EUR/USD","on_hour",12,19,0.36
"EUR/USD","on_hour",12,20,-1.1
"EUR/USD","on_hour",6,14,10.52
"EUR/USD","on_hour",6,15,11.82
"EUR/USD","on_hour",6,16,10.66
"EUR/USD","on_hour",6,17,8.52
"EUR/USD","on_hour",6,18,9.31
"EUR/USD","on_hour",6,19,5.41
"EUR/USD","on_hour",6,20,4.12
"EUR/USD","on_hour",7,14,10.57
"EUR/USD","on_hour",7,15,11.89
"EUR/USD","on_hour",7,16,10.67
"EUR/USD","on_hour",7,17,8.66
"EUR/USD","on_hour",7,18,9.42
"EUR/USD","on_hour",7,19,5.61
"EUR/USD","on_hour",7,20,4.42
"EUR/USD","on_hour",8,14,9.26
"EUR/USD","on_hour",8,15,10.27
"EUR/USD","on_hour",8,16,8.88
"EUR/USD","on_hour",8,17,6.7
"EUR/USD","on_hour",8,18,7.35
"EUR/USD","on_hour",8,19,3.28
"EUR/USD","on_hour",8,20,1.73
"EUR/USD","on_hour",9,14,8.75
"EUR/USD","on_hour",9,15,9.51
"EUR/USD","on_hour",9,16,8.08
"EUR/USD","on_hour",9,17,5.99
"EUR/USD","on_hour",9,18,6.59
"EUR/USD","on_hour",9,19,2.71
"EUR/USD","on_hour",9,20,1.15
"EUR/GBP","on_hour",10,14,4.15
"EUR/GBP","on_hour",10,15,2.76
"EUR/GBP","on_hour",10,16,1.87
"EUR/GBP","on_hour",10,17,2.83
"EUR/GBP","on_hour",10,18,2.73
"EUR/GBP","on_hour",10,19,2.61
"EUR/GBP","on_hour",10,20,2.71
"EUR/GBP","on_hour",11,14,1.41
"EUR/GBP","on_hour",11,15,-0.17
"EUR/GBP","on_hour",11,16,-1.24
"EUR/GBP","on_hour",11,17,-0.53
"EUR/GBP","on_hour",11,18,-0.75
"EUR/GBP","on_hour",11,19,-0.88
"EUR/GBP","on_hour",11,20,-0.89
"EUR/GBP","on_hour",12,14,0.35
"EUR/GBP","on_hour",12,15,-1.22
"EUR/GBP","on_hour",12,16,-2.26
"EUR/GBP","on_hour",12,17,-1.67
"EUR/GBP","on_hour",12,18,-1.89
"EUR/GBP","on_hour",12,19,-2.02
"EUR/GBP","on_hour",12,20,-2.06
"EUR/GBP","on_hour",6,14,3.81
"EUR/GBP","on_hour",6,15,2.33
"EUR/GBP","on_hour",6,16,1.34
"EUR/GBP","on_hour",6,17,2.32
"EUR/GBP","on_hour",6,18,2.18
"EUR/GBP","on_hour",6,19,2.07
"EUR/GBP","on_hour",6,20,2.18
"EUR/GBP","on_hour",7,14,3.88
"EUR/GBP","on_hour",7,15,2.42
"EUR/GBP","on_hour",7,16,1.43
"EUR/GBP","on_hour",7,17,2.44
"EUR/GBP","on_hour",7,18,2.3
"EUR/GBP","on_hour",7,19,2.2
"EUR/GBP","on_hour",7,20,2.31
"EUR/GBP","on_hour",8,14,2.34
"EUR/GBP","on_hour",8,15,0.67
"EUR/GBP","on_hour",8,16,-0.53
"EUR/GBP","on_hour",8,17,0.39
"EUR/GBP","on_hour",8,18,0.15
"EUR/GBP","on_hour",8,19,0
"EUR/GBP","on_hour",8,20,0.01
"EUR/GBP","on_hour",9,14,4.36
"EUR/GBP","on_hour",9,15,2.95
"EUR/GBP","on_hour",9,16,2.04
"EUR/GBP","on_hour",9,17,3.08
"EUR/GBP","on_hour",9,18,3.01
"EUR/GBP","on_hour",9,19,2.93
"EUR/GBP","on_hour",9,20,3.08
"EUR/AUD","on_hour",10,14,5.7
"EUR/AUD","on_hour",10,15,4.24
"EUR/AUD","on_hour",10,16,2.22
"EUR/AUD","on_hour",10,17,1.7
"EUR/AUD","on_hour",10,18,1.96
"EUR/AUD","on_hour",10,19,0.72
"EUR/AUD","on_hour",10,20,1.67
"EUR/AUD","on_hour",11,14,3.94
"EUR/AUD","on_hour",11,15,2.37
"EUR/AUD","on_hour",11,16,0.26
"EUR/AUD","on_hour",11,17,-0.31
"EUR/AUD","on_hour",11,18,-0.1
"EUR/AUD","on_hour",11,19,-1.34
"EUR/AUD","on_hour",11,20,-0.45
"EUR/AUD","on_hour",12,14,2.98
"EUR/AUD","on_hour",12,15,1.37
"EUR/AUD","on_hour",12,16,-0.71
"EUR/AUD","on_hour",12,17,-1.28
"EUR/AUD","on_hour",12,18,-1.1
"EUR/AUD","on_hour",12,19,-2.32
"EUR/AUD","on_hour",12,20,-1.47
"EUR/AUD","on_hour",6,14,7.34
"EUR/AUD","on_hour",6,15,5.83
"EUR/AUD","on_hour",6,16,3.64
"EUR/AUD","on_hour",6,17,3.07
"EUR/AUD","on_hour",6,18,3.43
"EUR/AUD","on_hour",6,19,1.95
"EUR/AUD","on_hour",6,20,3.15
"EUR/AUD","on_hour",7,14,5.27
"EUR/AUD","on_hour",7,15,3.6
"EUR/AUD","on_hour",7,16,1.21
"EUR/AUD","on_hour",7,17,0.55
"EUR/AUD","on_hour",7,18,0.84
"EUR/AUD","on_hour",7,19,-0.71
"EUR/AUD","on_hour",7,20,0.43
"EUR/AUD","on_hour",8,14,3.98
"EUR/AUD","on_hour",8,15,2.22
"EUR/AUD","on_hour",8,16,-0.24
"EUR/AUD","on_hour",8,17,-0.94
"EUR/AUD","on_hour",8,18,-0.7
"EUR/AUD","on_hour",8,19,-2.19
"EUR/AUD","on_hour",8,20,-1.13
"EUR/AUD","on_hour",9,14,4.88
"EUR/AUD","on_hour",9,15,3.26
"EUR/AUD","on_hour",9,16,1.02
"EUR/AUD","on_hour",9,17,0.4
"EUR/AUD","on_hour",9,18,0.66
"EUR/AUD","on_hour",9,19,-0.73
"EUR/AUD","on_hour",9,20,0.29
"EUR/NZD","on_hour",10,14,4.96
"EUR/NZD","on_hour",10,15,4.16
"EUR/NZD","on_hour",10,16,3.52
"EUR/NZD","on_hour",10,17,3.48
"EUR/NZD","on_hour",10,18,4.52
"EUR/NZD","on_hour",10,19,2.52
"EUR/NZD","on_hour",10,20,3.17
"EUR/NZD","on_hour",11,14,3.18
"EUR/NZD","on_hour",11,15,2.28
"EUR/NZD","on_hour",11,16,1.5
"EUR/NZD","on_hour",11,17,1.37
"EUR/NZD","on_hour",11,18,2.37
"EUR/NZD","on_hour",11,19,0.32
"EUR/NZD","on_hour",11,20,0.92
"EUR/NZD","on_hour",12,14,2.15
"EUR/NZD","on_hour",12,15,1.21
"EUR/NZD","on_hour",12,16,0.41
"EUR/NZD","on_hour",12,17,0.24
"EUR/NZD","on_hour",12,18,1.18
"EUR/NZD","on_hour",12,19,-0.81
"EUR/NZD","on_hour",12,20,-0.25
"EUR/NZD","on_hour",6,14,6.14
"EUR/NZD","on_hour",6,15,5.41
"EUR/NZD","on_hour",6,16,4.8
"EUR/NZD","on_hour",6,17,4.82
"EUR/NZD","on_hour",6,18,6.08
"EUR/NZD","on_hour",6,19,3.81
"EUR/NZD","on_hour",6,20,4.58
"EUR/NZD","on_hour",7,14,5.78
"EUR/NZD","on_hour",7,15,5.06
"EUR/NZD","on_hour",7,16,4.43
"EUR/NZD","on_hour",7,17,4.46
"EUR/NZD","on_hour",7,18,5.69
"EUR/NZD","on_hour",7,19,3.43
"EUR/NZD","on_hour",7,20,4.19
"EUR/NZD","on_hour",8,14,4.3
"EUR/NZD","on_hour",8,15,3.45
"EUR/NZD","on_hour",8,16,2.73
"EUR/NZD","on_hour",8,17,2.65
"EUR/NZD","on_hour",8,18,3.8
"EUR/NZD","on_hour",8,19,1.54
"EUR/NZD","on_hour",8,20,2.24
