"Asset","Algo","StartHour","EndHour","IR"
"EUR/JPY","on_hour",10,14,-4.1
"EUR/JPY","on_hour",10,15,-0.39
"EUR/JPY","on_hour",10,16,-0.06
"EUR/JPY","on_hour",10,17,0.13
"EUR/JPY","on_hour",10,18,0.26
"EUR/JPY","on_hour",10,19,0.7
"EUR/JPY","on_hour",10,20,-0.39
"EUR/JPY","on_hour",11,14,-4.13
"EUR/JPY","on_hour",11,15,0.62
"EUR/JPY","on_hour",11,16,0.81
"EUR/JPY","on_hour",11,17,0.88
"EUR/JPY","on_hour",11,18,0.94
"EUR/JPY","on_hour",11,19,1.36
"EUR/JPY","on_hour",11,20,0.03
"EUR/JPY","on_hour",12,14,-3.55
"EUR/JPY","on_hour",12,15,2.45
"EUR/JPY","on_hour",12,16,2.22
"EUR/JPY","on_hour",12,17,2.06
"EUR/JPY","on_hour",12,18,1.95
"EUR/JPY","on_hour",12,19,2.28
"EUR/JPY","on_hour",12,20,0.61
"EUR/JPY","on_hour",6,14,-5.58
"EUR/JPY","on_hour",6,15,-2.46
"EUR/JPY","on_hour",6,16,-2.09
"EUR/JPY","on_hour",6,17,-1.74
"EUR/JPY","on_hour",6,18,-1.56
"EUR/JPY","on_hour",6,19,-1
"EUR/JPY","on_hour",6,20,-1.75
"EUR/JPY","on_hour",7,14,-5.26
"EUR/JPY","on_hour",7,15,-2.37
"EUR/JPY","on_hour",7,16,-2.03
"EUR/JPY","on_hour",7,17,-1.68
"EUR/JPY","on_hour",7,18,-1.5
"EUR/JPY","on_hour",7,19,-0.99
"EUR/JPY","on_hour",7,20,-1.8
"EUR/JPY","on_hour",8,14,-6.88
"EUR/JPY","on_hour",8,15,-3.82
"EUR/JPY","on_hour",8,16,-3.35
"EUR/JPY","on_hour",8,17,-2.88
"EUR/JPY","on_hour",8,18,-2.66
"EUR/JPY","on_hour",8,19,-2.08
"EUR/JPY","on_hour",8,20,-2.58
"EUR/JPY","on_hour",9,14,-7.54
"EUR/JPY","on_hour",9,15,-4.36
"EUR/JPY","on_hour",9,16,-3.8
"EUR/JPY","on_hour",9,17,-3.25
"EUR/JPY","on_hour",9,18,-3.02
"EUR/JPY","on_hour",9,19,-2.4
"EUR/JPY","on_hour",9,20,-2.77
"GBP/JPY","on_hour",10,14,-6.58
"GBP/JPY","on_hour",10,15,-3.2
"GBP/JPY","on_hour",10,16,-4.2
"GBP/JPY","on_hour",10,17,-4.04
"GBP/JPY","on_hour",10,18,-4.26
"GBP/JPY","on_hour",10,19,-4.39
"GBP/JPY","on_hour",10,20,-2.99
"GBP/JPY","on_hour",11,14,-6.28
"GBP/JPY","on_hour",11,15,-2.13
"GBP/JPY","on_hour",11,16,-3.45
"GBP/JPY","on_hour",11,17,-3.38
"GBP/JPY","on_hour",11,18,-3.62
"GBP/JPY","on_hour",11,19,-3.78
"GBP/JPY","on_hour",11,20,-2.35
"GBP/JPY","on_hour",12,14,-3.81
"GBP/JPY","on_hour",12,15,0.69
"GBP/JPY","on_hour",12,16,-1.23
"GBP/JPY","on_hour",12,17,-1.73
"GBP/JPY","on_hour",12,18,-2.2
"GBP/JPY","on_hour",12,19,-2.54
"GBP/JPY","on_hour",12,20,-1.23
"GBP/JPY","on_hour",6,14,-7.3
"GBP/JPY","on_hour",6,15,-4.65
"GBP/JPY","on_hour",6,16,-5.55
"GBP/JPY","on_hour",6,17,-5.42
"GBP/JPY","on_hour",6,18,-5.61
"GBP/JPY","on_hour",6,19,-5.67
"GBP/JPY","on_hour",6,20,-4.23
"GBP/JPY","on_hour",7,14,-6.3
"GBP/JPY","on_hour",7,15,-3.84
"GBP/JPY","on_hour",7,16,-4.74
"GBP/JPY","on_hour",7,17,-4.64
"GBP/JPY","on_hour",7,18,-4.83
"GBP/JPY","on_hour",7,19,-4.94
"GBP/JPY","on_hour",7,20,-3.92
"GBP/JPY","on_hour",8,14,-8.8
"GBP/JPY","on_hour",8,15,-5.99
"GBP/JPY","on_hour",8,16,-6.73
"GBP/JPY","on_hour",8,17,-6.37
"GBP/JPY","on_hour",8,18,-6.39
"GBP/JPY","on_hour",8,19,-6.34
"GBP/JPY","on_hour",8,20,-4.97
"GBP/JPY","on_hour",9,14,-9.44
"GBP/JPY","on_hour",9,15,-6.58
