"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,7.98
"EUR/USD","on_hour",10,15,8.36
"EUR/USD","on_hour",10,16,6.32
"EUR/USD","on_hour",10,17,4.82
"EUR/USD","on_hour",10,18,6.31
"EUR/USD","on_hour",10,19,3.09
"EUR/USD","on_hour",10,20,1.31
"EUR/USD","on_hour",11,14,6.48
"EUR/USD","on_hour",11,15,6.7
"EUR/USD","on_hour",11,16,4.54
"EUR/USD","on_hour",11,17,2.99
"EUR/USD","on_hour",11,18,4.35
"EUR/USD","on_hour",11,19,1.1
"EUR/USD","on_hour",11,20,-0.72
"EUR/USD","on_hour",12,14,5.77
"EUR/USD","on_hour",12,15,5.85
"EUR/USD","on_hour",12,16,3.73
"EUR/USD","on_hour",12,17,2.23
"EUR/USD","on_hour",12,18,3.47
"EUR/USD","on_hour",12,19,0.38
"EUR/USD","on_hour",12,20,-1.36
"EUR/USD","on_hour",6,14,10.22
"EUR/USD","on_hour",6,15,11.31
"EUR/USD","on_hour",6,16,9.28
"EUR/USD","on_hour",6,17,7.7
"EUR/USD","on_hour",6,18,9.69
"EUR/USD","on_hour",6,19,6.23
"EUR/USD","on_hour",6,20,4.45
"EUR/USD","on_hour",7,14,9.87
"EUR/USD","on_hour",7,15,10.89
"EUR/USD","on_hour",7,16,8.86
"EUR/USD","on_hour",7,17,7.3
"EUR/USD","on_hour",7,18,9.23
"EUR/USD","on_hour",7,19,5.75
"EUR/USD","on_hour",7,20,3.97
"EUR/USD","on_hour",8,14,8.73
"EUR/USD","on_hour",8,15,9.47
"EUR/USD","on_hour",8,16,7.28
"EUR/USD","on_hour",8,17,5.66
"EUR/USD","on_hour",8,18,7.4
"EUR/USD","on_hour",8,19,3.79
"EUR/USD","on_hour",8,20,1.77
"EUR/USD","on_hour",9,14,8.51
"EUR/USD","on_hour",9,15,8.99
"EUR/USD","on_hour",9,16,6.82
"EUR/USD","on_hour",9,17,5.24
"EUR/USD","on_hour",9,18,6.84
"EUR/USD","on_hour",9,19,3.48
"EUR/USD","on_hour",9,20,1.59
"EUR/GBP","on_hour",10,14,5.08
"EUR/GBP","on_hour",10,15,4.29
"EUR/GBP","on_hour",10,16,0.97
"EUR/GBP","on_hour",10,17,3.18
"EUR/GBP","on_hour",10,18,2.86
"EUR/GBP","on_hour",10,19,2.61
"EUR/GBP","on_hour",10,20,2.78
"EUR/GBP","on_hour",11,14,4.06
"EUR/GBP","on_hour",11,15,3.19
"EUR/GBP","on_hour",11,16,-0.05
"EUR/GBP","on_hour",11,17,2.01
"EUR/GBP","on_hour",11,18,1.65
"EUR/GBP","on_hour",11,19,1.4
"EUR/GBP","on_hour",11,20,1.54
"EUR/GBP","on_hour",12,14,3.76
"EUR/GBP","on_hour",12,15,2.88
"EUR/GBP","on_hour",12,16,-0.12
"EUR/GBP","on_hour",12,17,1.75
"EUR/GBP","on_hour",12,18,1.42
"EUR/GBP","on_hour",12,19,1.19
"EUR/GBP","on_hour",12,20,1.31
"EUR/GBP","on_hour",6,14,6.31
"EUR/GBP","on_hour",6,15,5.64
"EUR/GBP","on_hour",6,16,2.38
"EUR/GBP","on_hour",6,17,4.7
"EUR/GBP","on_hour",6,18,4.39
"EUR/GBP","on_hour",6,19,4.2
"EUR/GBP","on_hour",6,20,4.46
"EUR/GBP","on_hour",7,14,6.09
"EUR/GBP","on_hour",7,15,5.4
"EUR/GBP","on_hour",7,16,1.99
"EUR/GBP","on_hour",7,17,4.44
"EUR/GBP","on_hour",7,18,4.12
"EUR/GBP","on_hour",7,19,3.93
"EUR/GBP","on_hour",7,20,4.21
"EUR/GBP","on_hour",8,14,5.66
"EUR/GBP","on_hour",8,15,4.91
"EUR/GBP","on_hour",8,16,1.12
"EUR/GBP","on_hour",8,17,3.85
