"Asset","Algo","StartHour","EndHour","IR"
"EUR/JPY","on_hour",10,14,-3.06
"EUR/JPY","on_hour",10,15,-1.96
"EUR/JPY","on_hour",10,16,-1.12
"EUR/JPY","on_hour",10,17,-0.68
"EUR/JPY","on_hour",10,18,-1.24
"EUR/JPY","on_hour",10,19,-2.33
"EUR/JPY","on_hour",10,20,-2.72
"EUR/JPY","on_hour",11,14,-3.18
"EUR/JPY","on_hour",11,15,-1.83
"EUR/JPY","on_hour",11,16,-0.89
"EUR/JPY","on_hour",11,17,-0.42
"EUR/JPY","on_hour",11,18,-1.05
"EUR/JPY","on_hour",11,19,-2.26
"EUR/JPY","on_hour",11,20,-2.64
"EUR/JPY","on_hour",12,14,-2.34
"EUR/JPY","on_hour",12,15,-0.47
"EUR/JPY","on_hour",12,16,0.43
"EUR/JPY","on_hour",12,17,0.77
"EUR/JPY","on_hour",12,18,-0.05
"EUR/JPY","on_hour",12,19,-1.43
"EUR/JPY","on_hour",12,20,-2.06
"EUR/JPY","on_hour",6,14,0.39
"EUR/JPY","on_hour",6,15,1.23
"EUR/JPY","on_hour",6,16,1.73
"EUR/JPY","on_hour",6,17,1.94
"EUR/JPY","on_hour",6,18,1.18
"EUR/JPY","on_hour",6,19,-0.11
"EUR/JPY","on_hour",6,20,-1.02
"EUR/JPY","on_hour",7,14,-0.86
"EUR/JPY","on_hour",7,15,-0.07
"EUR/JPY","on_hour",7,16,0.47
"EUR/JPY","on_hour",7,17,0.73
"EUR/JPY","on_hour",7,18,0.1
"EUR/JPY","on_hour",7,19,-1.01
"EUR/JPY","on_hour",7,20,-1.82
"EUR/JPY","on_hour",8,14,-3.17
"EUR/JPY","on_hour",8,15,-2.3
"EUR/JPY","on_hour",8,16,-1.59
"EUR/JPY","on_hour",8,17,-1.19
"EUR/JPY","on_hour",8,18,-1.66
"EUR/JPY","on_hour",8,19,-2.63
"EUR/JPY","on_hour",8,20,-3.05
"EUR/JPY","on_hour",9,14,-3.42
"EUR/JPY","on_hour",9,15,-2.48
"EUR/JPY","on_hour",9,16,-1.71
"EUR/JPY","on_hour",9,17,-1.26
"EUR/JPY","on_hour",9,18,-1.76
"EUR/JPY","on_hour",9,19,-2.74
