"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,3.36
"EUR/USD","on_hour",10,15,2.72
"EUR/USD","on_hour",10,16,4.22
"EUR/USD","on_hour",10,17,5.85
"EUR/USD","on_hour",10,18,3.81
"EUR/USD","on_hour",10,19,3.33
"EUR/USD","on_hour",10,20,1.9
"EUR/USD","on_hour",11,14,5.2
"EUR/USD","on_hour",11,15,4.7
"EUR/USD","on_hour",11,16,6.21
"EUR/USD","on_hour",11,17,7.89
"EUR/USD","on_hour",11,18,6.15
"EUR/USD","on_hour",11,19,5.77
"EUR/USD","on_hour",11,20,4.63
"EUR/USD","on_hour",12,14,5.07
"EUR/USD","on_hour",12,15,4.62
"EUR/USD","on_hour",12,16,6.04
"EUR/USD","on_hour",12,17,7.57
"EUR/USD","on_hour",12,18,5.92
"EUR/USD","on_hour",12,19,5.54
"EUR/USD","on_hour",12,20,4.46
"EUR/USD","on_hour",6,14,1.04
"EUR/USD","on_hour",6,15,0.18
"EUR/USD","on_hour",6,16,1.69
"EUR/USD","on_hour",6,17,3.3
"EUR/USD","on_hour",6,18,0.7
"EUR/USD","on_hour",6,19,-0.02
"EUR/USD","on_hour",6,20,-2.22
"EUR/USD","on_hour",7,14,1.15
"EUR/USD","on_hour",7,15,0.38
"EUR/USD","on_hour",7,16,1.85
"EUR/USD","on_hour",7,17,3.57
"EUR/USD","on_hour",7,18,1.16
"EUR/USD","on_hour",7,19,0.52
"EUR/USD","on_hour",7,20,-1.47
"EUR/USD","on_hour",8,14,2.31
"EUR/USD","on_hour",8,15,1.55
"EUR/USD","on_hour",8,16,3.15
"EUR/USD","on_hour",8,17,4.88
"EUR/USD","on_hour",8,18,2.47
"EUR/USD","on_hour",8,19,1.83
"EUR/USD","on_hour",8,20,-0.01
"EUR/USD","on_hour",9,14,2.42
"EUR/USD","on_hour",9,15,1.71
"EUR/USD","on_hour",9,16,3.2
"EUR/USD","on_hour",9,17,4.78
"EUR/USD","on_hour",9,18,2.58
