"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,6.78
"EUR/USD","on_hour",10,15,4.31
"EUR/USD","on_hour",10,16,5.13
"EUR/USD","on_hour",10,17,5.63
"EUR/USD","on_hour",10,18,4.36
"EUR/USD","on_hour",10,19,5.24
"EUR/USD","on_hour",10,20,4.56
"EUR/USD","on_hour",11,14,9.08
"EUR/USD","on_hour",11,15,5.48
"EUR/USD","on_hour",11,16,6.39
"EUR/USD","on_hour",11,17,6.95
"EUR/USD","on_hour",11,18,5.39
"EUR/USD","on_hour",11,19,6.35
"EUR/USD","on_hour",11,20,5.55
"EUR/USD","on_hour",12,14,5.46
"EUR/USD","on_hour",12,15,1.56
"EUR/USD","on_hour",12,16,2.9
"EUR/USD","on_hour",12,17,3.66
"EUR/USD","on_hour",12,18,1.87
"EUR/USD","on_hour",12,19,3.24
"EUR/USD","on_hour",12,20,2.28
"EUR/USD","on_hour",6,14,0.89
"EUR/USD","on_hour",6,15,-0.43
"EUR/USD","on_hour",6,16,0.28
"EUR/USD","on_hour",6,17,0.71
"EUR/USD","on_hour",6,18,-0.16
"EUR/USD","on_hour",6,19,0.69
"EUR/USD","on_hour",6,20,0.18
"EUR/USD","on_hour",7,14,3.25
"EUR/USD","on_hour",7,15,1.74
"EUR/USD","on_hour",7,16,2.44
"EUR/USD","on_hour",7,17,2.85
"EUR/USD","on_hour",7,18,1.94
"EUR/USD","on_hour",7,19,2.74
"EUR/USD","on_hour",7,20,2.22
"EUR/USD","on_hour",8,14,4.68
"EUR/USD","on_hour",8,15,3.04
"EUR/USD","on_hour",8,16,3.73
"EUR/USD","on_hour",8,17,4.13
"EUR/USD","on_hour",8,18,3.2
"EUR/USD","on_hour",8,19,3.95
"EUR/USD","on_hour",8,20,3.4
"EUR/USD","on_hour",9,14,6.98
"EUR/USD","on_hour",9,15,4.86
"EUR/USD","on_hour",9,16,5.58
"EUR/USD","on_hour",9,17,6.01
"EUR/USD","on_hour",9,18,4.92
"EUR/USD","on_hour",9,19,5.68
"EUR/USD","on_hour",9,20,5.08
"GBP/USD","on_hour",10,14,4.37
"GBP/USD","on_hour",10,15,3.9
"GBP/USD","on_hour",10,16,4.94
"GBP/USD","on_hour",10,17,2.38
"GBP/USD","on_hour",10,18,2.21
"GBP/USD","on_hour",10,19,3.53
"GBP/USD","on_hour",10,20,1.5
"GBP/USD","on_hour",11,14,4.94
"GBP/USD","on_hour",11,15,4.13
"GBP/USD","on_hour",11,16,5.34
"GBP/USD","on_hour",11,17,2.29
"GBP/USD","on_hour",11,18,2.1
