"Asset","Algo","StartHour","EndHour","IR"
"EUR/JPY","on_hour",10,14,-1.82
"EUR/JPY","on_hour",10,15,-1.57
"EUR/JPY","on_hour",10,16,-2.15
"EUR/JPY","on_hour",10,17,-2.83
"EUR/JPY","on_hour",10,18,-3.87
"EUR/JPY","on_hour",10,19,-7.15
"EUR/JPY","on_hour",10,20,-10.38
"EUR/JPY","on_hour",11,14,3.93
"EUR/JPY","on_hour",11,15,3.3
"EUR/JPY","on_hour",11,16,2.02
"EUR/JPY","on_hour",11,17,0.42
"EUR/JPY","on_hour",11,18,-1.07
"EUR/JPY","on_hour",11,19,-4.95
"EUR/JPY","on_hour",11,20,-8.72
"EUR/JPY","on_hour",12,14,-0.68
"EUR/JPY","on_hour",12,15,-0.47
"EUR/JPY","on_hour",12,16,-1.34
"EUR/JPY","on_hour",12,17,-2.18
"EUR/JPY","on_hour",12,18,-3.28
"EUR/JPY","on_hour",12,19,-7.1
"EUR/JPY","on_hour",12,20,-10.62
"EUR/JPY","on_hour",6,14,4.08
"EUR/JPY","on_hour",6,15,3.89
"EUR/JPY","on_hour",6,16,3.01
"EUR/JPY","on_hour",6,17,1.71
"EUR/JPY","on_hour",6,18,0.22
"EUR/JPY","on_hour",6,19,-3.5
"EUR/JPY","on_hour",6,20,-7.65
"EUR/JPY","on_hour",7,14,7.13
"EUR/JPY","on_hour",7,15,6.72
"EUR/JPY","on_hour",7,16,5.68
"EUR/JPY","on_hour",7,17,4.2
"EUR/JPY","on_hour",7,18,2.56
"EUR/JPY","on_hour",7,19,-1.05
"EUR/JPY","on_hour",7,20,-5.67
"EUR/JPY","on_hour",8,14,3.77
"EUR/JPY","on_hour",8,15,3.62
"EUR/JPY","on_hour",8,16,2.74
"EUR/JPY","on_hour",8,17,1.46
"EUR/JPY","on_hour",8,18,0.05
"EUR/JPY","on_hour",8,19,-3.2
"EUR/JPY","on_hour",8,20,-7.15
"EUR/JPY","on_hour",9,14,0.95
"EUR/JPY","on_hour",9,15,0.94
"EUR/JPY","on_hour",9,16,0.23
"EUR/JPY","on_hour",9,17,-0.75
"EUR/JPY","on_hour",9,18,-1.97
"EUR/JPY","on_hour",9,19,-5.2
"EUR/JPY","on_hour",9,20,-8.67
"GBP/JPY","on_hour",10,14,-3.36
"GBP/JPY","on_hour",10,15,-2.35
"GBP/JPY","on_hour",10,16,-1.22
"GBP/JPY","on_hour",10,17,-6.57
"GBP/JPY","on_hour",10,18,-4.75
"GBP/JPY","on_hour",10,19,-4.98
"GBP/JPY","on_hour",10,20,-8.03
"GBP/JPY","on_hour",11,14,2.79
"GBP/JPY","on_hour",11,15,2.9
"GBP/JPY","on_hour",11,16,3.46
"GBP/JPY","on_hour",11,17,-3.66
"GBP/JPY","on_hour",11,18,-2.18
"GBP/JPY","on_hour",11,19,-2.58
"GBP/JPY","on_hour",11,20,-6.2
"GBP/JPY","on_hour",12,14,0.5
"GBP/JPY","on_hour",12,15,1.14
"GBP/JPY","on_hour",12,16,1.99
"GBP/JPY","on_hour",12,17,-5.15
"GBP/JPY","on_hour",12,18,-3.07
"GBP/JPY","on_hour",12,19,-3.35
"GBP/JPY","on_hour",12,20,-6.9
"GBP/JPY","on_hour",6,14,2.53
"GBP/JPY","on_hour",6,15,2.75
"GBP/JPY","on_hour",6,16,3.26
"GBP/JPY","on_hour",6,17,-2.22
"GBP/JPY","on_hour",6,18,-1.26
"GBP/JPY","on_hour",6,19,-1.77
"GBP/JPY","on_hour",6,20,-5.78
"GBP/JPY","on_hour",7,14,5.79
"GBP/JPY","on_hour",7,15,5.73
"GBP/JPY","on_hour",7,16,5.96
"GBP/JPY","on_hour",7,17,0.48
"GBP/JPY","on_hour",7,18,1.06
"GBP/JPY","on_hour",7,19,0.43
"GBP/JPY","on_hour",7,20,-3.85
"GBP/JPY","on_hour",8,14,2.11
"GBP/JPY","on_hour",8,15,2.42
"GBP/JPY","on_hour",8,16,2.88
"GBP/JPY","on_hour",8,17,-2.52
"GBP/JPY","on_hour",8,18,-1.55
"GBP/JPY","on_hour",8,19,-2.05
"GBP/JPY","on_hour",8,20,-5.73
"GBP/JPY","on_hour",9,14,-2.76
"GBP/JPY","on_hour",9,15,-1.97
"GBP/JPY","on_hour",9,16,-0.97
"GBP/JPY","on_hour",9,17,-6.01
"GBP/JPY","on_hour",9,18,-4.45
"GBP/JPY","on_hour",9,19,-4.75
"GBP/JPY","on_hour",9,20,-7.78
"AUD/JPY","on_hour",10,14,-0.84
"AUD/JPY","on_hour",10,15,0.32
"AUD/JPY","on_hour",10,16,1.3
"AUD/JPY","on_hour",10,17,-0.95
"AUD/JPY","on_hour",10,18,-1.3
