"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,6.62
"EUR/USD","on_hour",10,15,6.19
"EUR/USD","on_hour",10,16,8.5
"EUR/USD","on_hour",10,17,5.01
"EUR/USD","on_hour",10,18,3.81
"EUR/USD","on_hour",10,19,2.33
"EUR/USD","on_hour",10,20,3.21
"EUR/USD","on_hour",11,14,6.27
"EUR/USD","on_hour",11,15,5.77
"EUR/USD","on_hour",11,16,7.92
"EUR/USD","on_hour",11,17,4.54
"EUR/USD","on_hour",11,18,3.36
"EUR/USD","on_hour",11,19,2.04
"EUR/USD","on_hour",11,20,2.78
"EUR/USD","on_hour",12,14,5.5
"EUR/USD","on_hour",12,15,4.95
"EUR/USD","on_hour",12,16,6.96
"EUR/USD","on_hour",12,17,3.69
"EUR/USD","on_hour",12,18,2.53
"EUR/USD","on_hour",12,19,1.32
"EUR/USD","on_hour",12,20,1.88
"EUR/USD","on_hour",6,14,8.25
"EUR/USD","on_hour",6,15,8.16
"EUR/USD","on_hour",6,16,11.19
"EUR/USD","on_hour",6,17,7.46
"EUR/USD","on_hour",6,18,6.4
"EUR/USD","on_hour",6,19,4.9
"EUR/USD","on_hour",6,20,6.58
"EUR/USD","on_hour",7,14,9.47
"EUR/USD","on_hour",7,15,9.52
"EUR/USD","on_hour",7,16,12.77
"EUR/USD","on_hour",7,17,9.17
"EUR/USD","on_hour",7,18,8.28
"EUR/USD","on_hour",7,19,6.82
"EUR/USD","on_hour",7,20,8.72
"EUR/USD","on_hour",8,14,8.76
"EUR/USD","on_hour",8,15,8.66
"EUR/USD","on_hour",8,16,11.65
"EUR/USD","on_hour",8,17,8.13
"EUR/USD","on_hour",8,18,7.18
"EUR/USD","on_hour",8,19,5.63
"EUR/USD","on_hour",8,20,7.17
"EUR/USD","on_hour",9,14,7.49
"EUR/USD","on_hour",9,15,7.18
"EUR/USD","on_hour",9,16,9.86
"EUR/USD","on_hour",9,17,6.2
"EUR/USD","on_hour",9,18,5.02
"EUR/USD","on_hour",9,19,3.49
"EUR/USD","on_hour",9,20,4.72
"EUR/GBP","on_hour",10,14,3.99
"EUR/GBP","on_hour",10,15,5.2
"EUR/GBP","on_hour",10,16,5.38
"EUR/GBP","on_hour",10,17,3.17
"EUR/GBP","on_hour",10,18,2.25
"EUR/GBP","on_hour",10,19,2.94
"EUR/GBP","on_hour",10,20,3.32
"EUR/GBP","on_hour",11,14,3.88
"EUR/GBP","on_hour",11,15,4.98
"EUR/GBP","on_hour",11,16,5.09
"EUR/GBP","on_hour",11,17,3
"EUR/GBP","on_hour",11,18,2.18
"EUR/GBP","on_hour",11,19,2.79
"EUR/GBP","on_hour",11,20,3.11
"EUR/GBP","on_hour",12,14,2.75
"EUR/GBP","on_hour",12,15,3.71
"EUR/GBP","on_hour",12,16,3.76
"EUR/GBP","on_hour",12,17,1.72
"EUR/GBP","on_hour",12,18,0.9
"EUR/GBP","on_hour",12,19,1.49
"EUR/GBP","on_hour",12,20,1.74
"EUR/GBP","on_hour",6,14,4.71
"EUR/GBP","on_hour",6,15,6.49
"EUR/GBP","on_hour",6,16,7.26
"EUR/GBP","on_hour",6,17,4.59
"EUR/GBP","on_hour",6,18,3.54
"EUR/GBP","on_hour",6,19,5.27
"EUR/GBP","on_hour",6,20,6.55
"EUR/GBP","on_hour",7,14,5.38
"EUR/GBP","on_hour",7,15,7.27
"EUR/GBP","on_hour",7,16,8.17
"EUR/GBP","on_hour",7,17,5.68
"EUR/GBP","on_hour",7,18,4.78
"EUR/GBP","on_hour",7,19,6.57
"EUR/GBP","on_hour",7,20,7.92
"EUR/GBP","on_hour",8,14,4.08
"EUR/GBP","on_hour",8,15,5.68
"EUR/GBP","on_hour",8,16,6.27
"EUR/GBP","on_hour",8,17,3.57
"EUR/GBP","on_hour",8,18,2.44
"EUR/GBP","on_hour",8,19,3.55
"EUR/GBP","on_hour",8,20,4.41
"EUR/GBP","on_hour",9,14,5.27
"EUR/GBP","on_hour",9,15,6.96
"EUR/GBP","on_hour",9,16,7.63
"EUR/GBP","on_hour",9,17,5.08
"EUR/GBP","on_hour",9,18,4.06
"EUR/GBP","on_hour",9,19,5.21
"EUR/GBP","on_hour",9,20,5.93
"EUR/AUD","on_hour",10,14,5.63
"EUR/AUD","on_hour",10,15,4.88
"EUR/AUD","on_hour",10,16,4.45
"EUR/AUD","on_hour",10,17,3.44
"EUR/AUD","on_hour",10,18,2.81
"EUR/AUD","on_hour",10,19,1.8
"EUR/AUD","on_hour",10,20,3.07
"EUR/AUD","on_hour",11,14,5.14
"EUR/AUD","on_hour",11,15,4.35
"EUR/AUD","on_hour",11,16,3.9
"EUR/AUD","on_hour",11,17,2.89
"EUR/AUD","on_hour",11,18,2.27
"EUR/AUD","on_hour",11,19,1.31
"EUR/AUD","on_hour",11,20,2.51
"EUR/AUD","on_hour",12,14,3.54
"EUR/AUD","on_hour",12,15,2.69
"EUR/AUD","on_hour",12,16,2.23
"EUR/AUD","on_hour",12,17,1.18
"EUR/AUD","on_hour",12,18,0.54
"EUR/AUD","on_hour",12,19,-0.52
"EUR/AUD","on_hour",12,20,0.61
"EUR/AUD","on_hour",6,14,10.34
"EUR/AUD","on_hour",6,15,9.86
"EUR/AUD","on_hour",6,16,9.75
"EUR/AUD","on_hour",6,17,8.75
"EUR/AUD","on_hour",6,18,8.18
"EUR/AUD","on_hour",6,19,6.96
"EUR/AUD","on_hour",6,20,8.94
