"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,1.8
"EUR/USD","on_hour",10,15,0.85
"EUR/USD","on_hour",10,16,2.03
"EUR/USD","on_hour",10,17,7.43
"EUR/USD","on_hour",10,18,7.33
"EUR/USD","on_hour",10,19,5.29
"EUR/USD","on_hour",10,20,3.88
"EUR/USD","on_hour",11,14,-1.94
"EUR/USD","on_hour",11,15,-3.09
"EUR/USD","on_hour",11,16,-2.44
"EUR/USD","on_hour",11,17,2.16
"EUR/USD","on_hour",11,18,1.79
"EUR/USD","on_hour",11,19,-0.48
"EUR/USD","on_hour",11,20,-2.2
"EUR/USD","on_hour",12,14,-2.46
"EUR/USD","on_hour",12,15,-3.58
"EUR/USD","on_hour",12,16,-3.04
"EUR/USD","on_hour",12,17,1.28
"EUR/USD","on_hour",12,18,0.88
"EUR/USD","on_hour",12,19,-1.27
"EUR/USD","on_hour",12,20,-2.91
"EUR/USD","on_hour",6,14,3.25
"EUR/USD","on_hour",6,15,2.11
"EUR/USD","on_hour",6,16,3.42
"EUR/USD","on_hour",6,17,10.06
"EUR/USD","on_hour",6,18,10.16
"EUR/USD","on_hour",6,19,7.61
"EUR/USD","on_hour",6,20,6
"EUR/USD","on_hour",7,14,3.19
"EUR/USD","on_hour",7,15,2.23
"EUR/USD","on_hour",7,16,3.51
"EUR/USD","on_hour",7,17,10.32
"EUR/USD","on_hour",7,18,10.45
"EUR/USD","on_hour",7,19,8.39
"EUR/USD","on_hour",7,20,7.2
"EUR/USD","on_hour",8,14,3.39
"EUR/USD","on_hour",8,15,2.4
"EUR/USD","on_hour",8,16,3.9
"EUR/USD","on_hour",8,17,10.32
"EUR/USD","on_hour",8,18,10.62
"EUR/USD","on_hour",8,19,8.61
"EUR/USD","on_hour",8,20,7.23
"EUR/USD","on_hour",9,14,0.62
"EUR/USD","on_hour",9,15,-0.48
"EUR/USD","on_hour",9,16,0.61
"EUR/USD","on_hour",9,17,6.29
