"Asset","Algo","StartHour","EndHour","IR"
"EUR/JPY","on_hour",10,14,-0.65
"EUR/JPY","on_hour",10,15,0.4
"EUR/JPY","on_hour",10,16,0.9
"EUR/JPY","on_hour",10,17,0.2
"EUR/JPY","on_hour",10,18,-1.39
"EUR/JPY","on_hour",10,19,-1.49
"EUR/JPY","on_hour",10,20,1.6
"EUR/JPY","on_hour",11,14,-0.94
"EUR/JPY","on_hour",11,15,0.3
"EUR/JPY","on_hour",11,16,0.86
"EUR/JPY","on_hour",11,17,0.11
"EUR/JPY","on_hour",11,18,-1.61
"EUR/JPY","on_hour",11,19,-1.66
"EUR/JPY","on_hour",11,20,1.59
"EUR/JPY","on_hour",12,14,-2.83
"EUR/JPY","on_hour",12,15,-1.02
"EUR/JPY","on_hour",12,16,-0.23
"EUR/JPY","on_hour",12,17,-0.89
"EUR/JPY","on_hour",12,18,-2.57
"EUR/JPY","on_hour",12,19,-2.49
"EUR/JPY","on_hour",12,20,1.04
"EUR/JPY","on_hour",6,14,6.44
"EUR/JPY","on_hour",6,15,6.53
"EUR/JPY","on_hour",6,16,6.43
"EUR/JPY","on_hour",6,17,5.23
"EUR/JPY","on_hour",6,18,3.28
"EUR/JPY","on_hour",6,19,2.98
"EUR/JPY","on_hour",6,20,5.39
"EUR/JPY","on_hour",7,14,2.04
"EUR/JPY","on_hour",7,15,2.63
"EUR/JPY","on_hour",7,16,2.87
"EUR/JPY","on_hour",7,17,2.03
"EUR/JPY","on_hour",7,18,0.38
"EUR/JPY","on_hour",7,19,0.26
"EUR/JPY","on_hour",7,20,2.87
"EUR/JPY","on_hour",8,14,-0.12
"EUR/JPY","on_hour",8,15,0.74
"EUR/JPY","on_hour",8,16,1.16
"EUR/JPY","on_hour",8,17,0.5
"EUR/JPY","on_hour",8,18,-1.01
"EUR/JPY","on_hour",8,19,-1.05
"EUR/JPY","on_hour",8,20,1.74
"EUR/JPY","on_hour",9,14,-0.56
"EUR/JPY","on_hour",9,15,0.38
"EUR/JPY","on_hour",9,16,0.85
"EUR/JPY","on_hour",9,17,0.21
"EUR/JPY","on_hour",9,18,-1.3
"EUR/JPY","on_hour",9,19,-1.33
"EUR/JPY","on_hour",9,20,1.58
"GBP/JPY","on_hour",10,14,-0.58
"GBP/JPY","on_hour",10,15,0.29
"GBP/JPY","on_hour",10,16,0.26
"GBP/JPY","on_hour",10,17,0.8
"GBP/JPY","on_hour",10,18,-1.72
"GBP/JPY","on_hour",10,19,0.26
"GBP/JPY","on_hour",10,20,2.79
"GBP/JPY","on_hour",11,14,0.24
"GBP/JPY","on_hour",11,15,1.05
"GBP/JPY","on_hour",11,16,0.9
"GBP/JPY","on_hour",11,17,1.39
"GBP/JPY","on_hour",11,18,-1.35
"GBP/JPY","on_hour",11,19,0.73
"GBP/JPY","on_hour",11,20,3.22
"GBP/JPY","on_hour",12,14,-0.61
"GBP/JPY","on_hour",12,15,0.46
"GBP/JPY","on_hour",12,16,0.39
"GBP/JPY","on_hour",12,17,0.96
"GBP/JPY","on_hour",12,18,-1.81
"GBP/JPY","on_hour",12,19,0.41
"GBP/JPY","on_hour",12,20,2.96
"GBP/JPY","on_hour",6,14,5.62
"GBP/JPY","on_hour",6,15,5.6
"GBP/JPY","on_hour",6,16,4.99
"GBP/JPY","on_hour",6,17,4.96
"GBP/JPY","on_hour",6,18,2.27
"GBP/JPY","on_hour",6,19,4.09
"GBP/JPY","on_hour",6,20,6.3
"GBP/JPY","on_hour",7,14,1.28
"GBP/JPY","on_hour",7,15,1.79
"GBP/JPY","on_hour",7,16,1.59
"GBP/JPY","on_hour",7,17,1.92
"GBP/JPY","on_hour",7,18,-0.48
"GBP/JPY","on_hour",7,19,1.37
"GBP/JPY","on_hour",7,20,3.67
"GBP/JPY","on_hour",8,14,-0.35
"GBP/JPY","on_hour",8,15,0.39
"GBP/JPY","on_hour",8,16,0.34
"GBP/JPY","on_hour",8,17,0.83
"GBP/JPY","on_hour",8,18,-1.51
"GBP/JPY","on_hour",8,19,0.39
"GBP/JPY","on_hour",8,20,2.74
"GBP/JPY","on_hour",9,14,-1.37
"GBP/JPY","on_hour",9,15,-0.45
"GBP/JPY","on_hour",9,16,-0.4
"GBP/JPY","on_hour",9,17,0.19
"GBP/JPY","on_hour",9,18,-2.14
"GBP/JPY","on_hour",9,19,-0.17
"GBP/JPY","on_hour",9,20,2.34
"AUD/JPY","on_hour",10,14,-2.4
"AUD/JPY","on_hour",10,15,-0.29
"AUD/JPY","on_hour",10,16,0.72
"AUD/JPY","on_hour",10,17,0.91
"AUD/JPY","on_hour",10,18,0.04
"AUD/JPY","on_hour",10,19,1.43
"AUD/JPY","on_hour",10,20,4.05
"AUD/JPY","on_hour",11,14,-1.62
"AUD/JPY","on_hour",11,15,0.86
"AUD/JPY","on_hour",11,16,1.92
"AUD/JPY","on_hour",11,17,2.04
"AUD/JPY","on_hour",11,18,0.94
"AUD/JPY","on_hour",11,19,2.49
"AUD/JPY","on_hour",11,20,4.98
"AUD/JPY","on_hour",12,14,-1.31
"AUD/JPY","on_hour",12,15,1.54
"AUD/JPY","on_hour",12,16,2.64
"AUD/JPY","on_hour",12,17,2.66
"AUD/JPY","on_hour",12,18,1.41
"AUD/JPY","on_hour",12,19,3.12
"AUD/JPY","on_hour",12,20,5.55
"AUD/JPY","on_hour",6,14,-2.04
"AUD/JPY","on_hour",6,15,-0.32
"AUD/JPY","on_hour",6,16,0.55
"AUD/JPY","on_hour",6,17,0.73
"AUD/JPY","on_hour",6,18,-0.03
"AUD/JPY","on_hour",6,19,1.33
"AUD/JPY","on_hour",6,20,3.99
"AUD/JPY","on_hour",7,14,-3.38
"AUD/JPY","on_hour",7,15,-1.58
"AUD/JPY","on_hour",7,16,-0.6
"AUD/JPY","on_hour",7,17,-0.37
