"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,-0.64
"EUR/USD","on_hour",10,15,-1.87
"EUR/USD","on_hour",10,16,-3.6
"EUR/USD","on_hour",10,17,-5.61
"EUR/USD","on_hour",10,18,-0.05
"EUR/USD","on_hour",10,19,2.14
"EUR/USD","on_hour",10,20,1.48
"EUR/USD","on_hour",11,14,2.08
"EUR/USD","on_hour",11,15,0.56
"EUR/USD","on_hour",11,16,-1.56
"EUR/USD","on_hour",11,17,-3.97
"EUR/USD","on_hour",11,18,2.62
"EUR/USD","on_hour",11,19,5.12
"EUR/USD","on_hour",11,20,4.31
"EUR/USD","on_hour",12,14,6.04
"EUR/USD","on_hour",12,15,3.04
"EUR/USD","on_hour",12,16,0.35
"EUR/USD","on_hour",12,17,-2.63
"EUR/USD","on_hour",12,18,5.4
"EUR/USD","on_hour",12,19,8.22
"EUR/USD","on_hour",12,20,7.16
"EUR/USD","on_hour",6,14,-2.11
"EUR/USD","on_hour",6,15,-2.66
"EUR/USD","on_hour",6,16,-3.86
"EUR/USD","on_hour",6,17,-5.2
"EUR/USD","on_hour",6,18,-1.43
"EUR/USD","on_hour",6,19,0.06
"EUR/USD","on_hour",6,20,-0.36
"EUR/USD","on_hour",7,14,-0.25
"EUR/USD","on_hour",7,15,-0.97
"EUR/USD","on_hour",7,16,-2.23
"EUR/USD","on_hour",7,17,-3.68
"EUR/USD","on_hour",7,18,0.3
"EUR/USD","on_hour",7,19,1.87
"EUR/USD","on_hour",7,20,1.39
"EUR/USD","on_hour",8,14,-0.93
"EUR/USD","on_hour",8,15,-1.73
"EUR/USD","on_hour",8,16,-3.07
"EUR/USD","on_hour",8,17,-4.62
"EUR/USD","on_hour",8,18,-0.35
"EUR/USD","on_hour",8,19,1.34
"EUR/USD","on_hour",8,20,0.83
"EUR/USD","on_hour",9,14,-0.3
"EUR/USD","on_hour",9,15,-1.35
"EUR/USD","on_hour",9,16,-2.84
"EUR/USD","on_hour",9,17,-4.56
"EUR/USD","on_hour",9,18,0.18
"EUR/USD","on_hour",9,19,2.05
"EUR/USD","on_hour",9,20,1.47
"GBP/USD","on_hour",10,14,-2.36
"GBP/USD","on_hour",10,15,-2.92
"GBP/USD","on_hour",10,16,-3.98
"GBP/USD","on_hour",10,17,-5.98
"GBP/USD","on_hour",10,18,-1.99
"GBP/USD","on_hour",10,19,-0.29
"GBP/USD","on_hour",10,20,-0.58
"GBP/USD","on_hour",11,14,-1.02
"GBP/USD","on_hour",11,15,-1.95
"GBP/USD","on_hour",11,16,-3.26
"GBP/USD","on_hour",11,17,-5.51
"GBP/USD","on_hour",11,18,-0.9
"GBP/USD","on_hour",11,19,1.06
"GBP/USD","on_hour",11,20,0.7
"GBP/USD","on_hour",12,14,0.65
"GBP/USD","on_hour",12,15,-0.95
"GBP/USD","on_hour",12,16,-2.69
"GBP/USD","on_hour",12,17,-5.29
"GBP/USD","on_hour",12,18,0.16
"GBP/USD","on_hour",12,19,2.49
"GBP/USD","on_hour",12,20,2.05
"GBP/USD","on_hour",6,14,-0.31
"GBP/USD","on_hour",6,15,-0.64
"GBP/USD","on_hour",6,16,-1.45
"GBP/USD","on_hour",6,17,-3.01
"GBP/USD","on_hour",6,18,-0.12
"GBP/USD","on_hour",6,19,1.11
"GBP/USD","on_hour",6,20,0.88
"GBP/USD","on_hour",7,14,1.43
"GBP/USD","on_hour",7,15,0.97
"GBP/USD","on_hour",7,16,0.06
"GBP/USD","on_hour",7,17,-1.74
"GBP/USD","on_hour",7,18,1.45
"GBP/USD","on_hour",7,19,2.79
"GBP/USD","on_hour",7,20,2.51
"GBP/USD","on_hour",8,14,-0.15
"GBP/USD","on_hour",8,15,-0.69
"GBP/USD","on_hour",8,16,-1.62
"GBP/USD","on_hour",8,17,-3.41
"GBP/USD","on_hour",8,18,-0.08
"GBP/USD","on_hour",8,19,1.34
"GBP/USD","on_hour",8,20,1.07
"GBP/USD","on_hour",9,14,0.12
"GBP/USD","on_hour",9,15,-0.7
"GBP/USD","on_hour",9,16,-1.74
"GBP/USD","on_hour",9,17,-3.74
"GBP/USD","on_hour",9,18,-0.02
"GBP/USD","on_hour",9,19,1.57
"GBP/USD","on_hour",9,20,1.27
"AUD/USD","on_hour",10,14,-3.67
"AUD/USD","on_hour",10,15,-5.19
"AUD/USD","on_hour",10,16,-5.93
"AUD/USD","on_hour",10,17,-8.35
"AUD/USD","on_hour",10,18,-6.12
"AUD/USD","on_hour",10,19,-5.11
"AUD/USD","on_hour",10,20,-8.08
"AUD/USD","on_hour",11,14,-2.29
"AUD/USD","on_hour",11,15,-4
"AUD/USD","on_hour",11,16,-4.89
"AUD/USD","on_hour",11,17,-7.65
"AUD/USD","on_hour",11,18,-5.12
"AUD/USD","on_hour",11,19,-3.96
"AUD/USD","on_hour",11,20,-7.32
"AUD/USD","on_hour",12,14,2.29
"AUD/USD","on_hour",12,15,-0.75
"AUD/USD","on_hour",12,16,-2.07
"AUD/USD","on_hour",12,17,-5.49
"AUD/USD","on_hour",12,18,-2.53
"AUD/USD","on_hour",12,19,-1.31
"AUD/USD","on_hour",12,20,-5.34
"AUD/USD","on_hour",6,14,0.29
"AUD/USD","on_hour",6,15,-0.99
"AUD/USD","on_hour",6,16,-1.63
"AUD/USD","on_hour",6,17,-3.46
"AUD/USD","on_hour",6,18,-1.99
"AUD/USD","on_hour",6,19,-1.33
"AUD/USD","on_hour",6,20,-3.64
"AUD/USD","on_hour",7,14,0.04
"AUD/USD","on_hour",7,15,-1.31
"AUD/USD","on_hour",7,16,-1.98
"AUD/USD","on_hour",7,17,-3.92
"AUD/USD","on_hour",7,18,-2.34
"AUD/USD","on_hour",7,19,-1.63
"AUD/USD","on_hour",7,20,-4.04
"AUD/USD","on_hour",8,14,-1.05
"AUD/USD","on_hour",8,15,-2.48
"AUD/USD","on_hour",8,16,-3.14
"AUD/USD","on_hour",8,17,-5.14
"AUD/USD","on_hour",8,18,-3.48
"AUD/USD","on_hour",8,19,-2.7
"AUD/USD","on_hour",8,20,-5.14
"AUD/USD","on_hour",9,14,0.83
"AUD/USD","on_hour",9,15,-0.84
"AUD/USD","on_hour",9,16,-1.63
"AUD/USD","on_hour",9,17,-3.9
"AUD/USD","on_hour",9,18,-2.06
"AUD/USD","on_hour",9,19,-1.25
"AUD/USD","on_hour",9,20,-4.04
"NZD/USD","on_hour",10,14,-3.9
"NZD/USD","on_hour",10,15,-7.03
"NZD/USD","on_hour",10,16,-8.35
"NZD/USD","on_hour",10,17,-12.05
"NZD/USD","on_hour",10,18,-8.38
"NZD/USD","on_hour",10,19,-5.57
"NZD/USD","on_hour",10,20,-8.2
"NZD/USD","on_hour",11,14,-2.29
"NZD/USD","on_hour",11,15,-5.93
"NZD/USD","on_hour",11,16,-7.34
"NZD/USD","on_hour",11,17,-11.39
"NZD/USD","on_hour",11,18,-7.35
"NZD/USD","on_hour",11,19,-4.36
"NZD/USD","on_hour",11,20,-7.34
"NZD/USD","on_hour",12,14,2.72
"NZD/USD","on_hour",12,15,-3.05
"NZD/USD","on_hour",12,16,-4.99
"NZD/USD","on_hour",12,17,-9.9
"NZD/USD","on_hour",12,18,-5.19
"NZD/USD","on_hour",12,19,-1.79
"NZD/USD","on_hour",12,20,-5.38
"NZD/USD","on_hour",6,14,1.66
"NZD/USD","on_hour",6,15,-0.8
"NZD/USD","on_hour",6,16,-1.9
"NZD/USD","on_hour",6,17,-5.08
"NZD/USD","on_hour",6,18,-2.49
"NZD/USD","on_hour",6,19,-0.5
