"Asset","Algo","StartHour","EndHour","IR"
"EUR/JPY","on_hour",10,14,-2.47
"EUR/JPY","on_hour",10,15,-0.44
"EUR/JPY","on_hour",10,16,-0.25
"EUR/JPY","on_hour",10,17,-0.39
"EUR/JPY","on_hour",10,18,-1.33
"EUR/JPY","on_hour",10,19,-1.42
"EUR/JPY","on_hour",10,20,-2.97
"EUR/JPY","on_hour",11,14,-1.55
"EUR/JPY","on_hour",11,15,0.82
"EUR/JPY","on_hour",11,16,0.87
"EUR/JPY","on_hour",11,17,0.59
"EUR/JPY","on_hour",11,18,-0.54
"EUR/JPY","on_hour",11,19,-0.69
"EUR/JPY","on_hour",11,20,-2.47
"EUR/JPY","on_hour",12,14,-2.89
"EUR/JPY","on_hour",12,15,0.28
"EUR/JPY","on_hour",12,16,0.4
"EUR/JPY","on_hour",12,17,0.17
"EUR/JPY","on_hour",12,18,-0.97
"EUR/JPY","on_hour",12,19,-1.08
"EUR/JPY","on_hour",12,20,-2.84
"EUR/JPY","on_hour",6,14,-0.89
"EUR/JPY","on_hour",6,15,0.5
"EUR/JPY","on_hour",6,16,0.6
"EUR/JPY","on_hour",6,17,0.42
"EUR/JPY","on_hour",6,18,-0.48
"EUR/JPY","on_hour",6,19,-0.59
"EUR/JPY","on_hour",6,20,-2.41
"EUR/JPY","on_hour",7,14,-2.52
"EUR/JPY","on_hour",7,15,-1.03
"EUR/JPY","on_hour",7,16,-0.84
"EUR/JPY","on_hour",7,17,-0.93
"EUR/JPY","on_hour",7,18,-1.72
"EUR/JPY","on_hour",7,19,-1.75
"EUR/JPY","on_hour",7,20,-3.25
"EUR/JPY","on_hour",8,14,-3.72
"EUR/JPY","on_hour",8,15,-2.01
"EUR/JPY","on_hour",8,16,-1.72
"EUR/JPY","on_hour",8,17,-1.74
"EUR/JPY","on_hour",8,18,-2.49
"EUR/JPY","on_hour",8,19,-2.49
"EUR/JPY","on_hour",8,20,-3.76
"EUR/JPY","on_hour",9,14,-3.5
"EUR/JPY","on_hour",9,15,-1.62
"EUR/JPY","on_hour",9,16,-1.32
"EUR/JPY","on_hour",9,17,-1.36
"EUR/JPY","on_hour",9,18,-2.16
"EUR/JPY","on_hour",9,19,-2.16
"EUR/JPY","on_hour",9,20,-3.54
"GBP/JPY","on_hour",10,14,-3.48
"GBP/JPY","on_hour",10,15,-1.66
"GBP/JPY","on_hour",10,16,-3.07
"GBP/JPY","on_hour",10,17,-2.93
"GBP/JPY","on_hour",10,18,-3.8
